""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"IFIT3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"IFIT3"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"IFIT3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"IFIT3"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"IRF9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"IRF9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"IRF9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"IRF9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"IRF9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"IRF9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"ISG15"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"ISG15"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"ISG15"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"ISG15"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"ISG15"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"ISG15"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"OAS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"OAS1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"OAS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"OAS1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"OAS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"OAS1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"OAS3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"OAS3"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"OAS3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"OAS3"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"OAS3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"OAS3"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PARP9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PARP9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PARP9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PARP9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PARP9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PARP9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSEN2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSEN2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSEN2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSEN2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSEN2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSEN2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSMB8"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSMB8"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSMB8"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSMB8"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSMB8"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSMB8"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSMB9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSMB9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSMB9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSMB9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSMB9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSMB9"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSME2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSME2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSME2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSME2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"PSME2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"PSME2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"RIPK2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"RIPK2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"RIPK2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"RIPK2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"RIPK2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"RIPK2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"RTP4"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"RTP4"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"RTP4"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"RTP4"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"RTP4"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"RTP4"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"SAMD9L"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"SAMD9L"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"SAMD9L"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"SAMD9L"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"SAMD9L"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"SAMD9L"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"SERPING1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"SERPING1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"SERPING1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"SERPING1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"SERPING1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"SERPING1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"STAT2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"STAT2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"STAT2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"STAT2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"STAT2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"STAT2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"TAP2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"TAP2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"TAP2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"TAP2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"TAP2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"TAP2"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"WARS"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"WARS"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"WARS"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"WARS"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"WARS"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"WARS"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"ZBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"ZBP1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"ZBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"ZBP1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"ZBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"ZBP1"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"APOBEC3G"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"APOBEC3G"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"APOBEC3G"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"APOBEC3G"
""	"20191120-hipciof_gene_30843873"	"2019.11.20"	"hipciof_gene_42"	"whole blood"	"APOBEC3G"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"Influenza B virus (B/Wisconsin/01/2010)"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"360"	"APOBEC3G"
