""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"GBP5"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"GBP5"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"PSME1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PSME1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"PARP9"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PARP9"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"RSAD2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"RSAD2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"C3AR1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"C3AR1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IL15"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IL15"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFIH1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFIH1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"ISG15"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ISG15"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"CASP1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CASP1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"LHFPL2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LHFPL2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"DHX58"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"DHX58"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"UNC93B1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"UNC93B1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"PHF11"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PHF11"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"OAS2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"OAS2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"KARS1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"KARS"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"SBNO2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SBNO2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"CMPK2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CMPK2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"TRIM5"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TRIM5"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"FBXO6"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"FBXO6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"GBP2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"GBP2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"EPSTI1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"EPSTI1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"BATF2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"BATF2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFI16"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFI16"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"TYMP"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ECGF1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"SP110"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SP110"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"CUL1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CUL1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"MOV10"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"MOV10"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"TOR1A"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TOR1A"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"ZNFX1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ZNFX1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFI6"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFI6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"JAK2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"JAK2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"ANKRD22"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ANKRD22"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"ZC3HAV1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ZC3HAV1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"NCOA7"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"NCOA7"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"HELZ2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PRIC285"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
